"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Pathetic","negative","Hilton Hotel","March","2019","1","negative"
"SACCO","neutral","Hilton Hotel","February","2019","4","positive"
"Nice elegant comfortable hotel","positive","Hilton Hotel","January","2019","5","positive"
"Lazy Staff ","negative","Hilton Hotel","January","2020","1","negative"
"Overall Okay","neutral","Hilton Hotel","October","2023","4","positive"
"Friendly and helpful staff good location rooms a bit tired.","positive","Hilton Hotel","October","2023","4","positive"
"A welcome travel respite","positive","Hilton Hotel","May","2021","5","positive"
"Comfortable option downtown","positive","Hilton Hotel","December","2023","4","positive"
"The Worst experience I have ever had at checking out","negative","Hilton Hotel","August","2022","1","negative"
"Outstanding","positive","Hilton Hotel","October","2020","5","positive"
"Beautiful hotel and rooftop","positive","Hilton Hotel","March","2022","5","positive"
"A wonderful and perfect place to Begin  and  to End your journey through beautiful Namibia!","positive","Hilton Hotel","July","2021","5","positive"
"A pleasant stay in Windhoek.  The elevators were an issue...","positive","Hilton Hotel","September","2019","4","positive"
"Best hotel in Windhoek","positive","Hilton Hotel","March","2019","5","positive"
"High class hotel","neutral","Hilton Hotel","December","2019","5","positive"
"Localização ","neutral","Hilton Hotel","June","2019","5","positive"
"Hilton ist auch in Windhoek fas Hilton","neutral","Hilton Hotel","March","2019","4","positive"
"super confortable","positive","Hilton Hotel","March","2023","5","positive"
"The Hilton Hotel that should not be","neutral","Hilton Hotel","June","2022","2","negative"
"August Trip","neutral","Hilton Hotel","August","2021","3","neutral"
"Zu wenig für 5 Sterne","neutral","Hilton Hotel","February","2020","3","neutral"
"In need of attention","positive","Hilton Hotel","December","2019","3","neutral"
"Rooms not clean and not maintained correctly","positive","Hilton Hotel","December","2019","2","negative"
"Your experience at the Windhoek Hilton Hotel","neutral","Hilton Hotel","October","2019","5","positive"
"Nice Hotel with a Cigarette Smoke Issue","neutral","Hilton Hotel","September","2019","3","neutral"
"一人旅で","neutral","Hilton Hotel","August","2019","5","positive"
"Lovely hotel","positive","Hilton Hotel","July","2019","5","positive"
"Splendid Stay","positive","Hilton Hotel","June","2019","5","positive"
